research_order,listed_affiliation,research_group,public_profiles_with_label,all_profiles_with_label,status,scope_reviewed,next_step
1,Heart Mountain Fair Play Committee,Heart Mountain Fair Play Committee,6,6,first_roster_pass_complete_with_open_leads,93 museum roster entries: 81 proposed; 7 existing; 5 held. Wider membership not claimed complete.,Resolve five held names and disputed dates; follow additional archive leads.
2,Catonsville 9,Catonsville 9,3,3,nine_person_roster_complete_pending_batch270,Nine identities: eight already existing; David/James Darst verified for pretrial custody and proposed in batch270.,Check deployment of batch270; missing affiliation labels remain a separate preservation-safe audit.
3,Committee for Non-Violent Action,Committee for Nonviolent Action,19,19,prior_batch268_research,Prior CNVA report and named-lead screening in cnva-roster-batch268.csv; not a complete organizational roster.,Follow unresolved CNVA leads from batch268 after this pass.
3,Committee for Nonviolent Action,Committee for Nonviolent Action,27,27,prior_batch268_research,Prior CNVA report and named-lead screening in cnva-roster-batch268.csv; not a complete organizational roster.,Follow unresolved CNVA leads from batch268 after this pass.
4,Clamshell Alliance,Clamshell Alliance,9,9,first_custody_pass_batch270_open_leads,Four missing activists proposed in batch270; nine existing label matches and additional identities screened. Mass-arrest roster not exhausted.,Continue individual Clamshell leads in affiliation-prisoner-audit-batch270.md; seek named detention rosters.
5,American Friends Service Committee,American Friends Service Committee,4,4,cross_affiliation_addition_batch270,Arnie Alpert proposed through Clamshell custody evidence; organizational audit remains open.,Research remaining AFSC activists and CNVA overlaps against all existing and pending identities.
6,Fellowship of Reconciliation,Fellowship of Reconciliation,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
7,Alabama Christian Movement for Human Rights,Alabama Christian Movement for Human Rights,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
8,#Justice8,#Justice8,7,7,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
9,ACT UP,ACT UP,11,11,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
10,Almighty Latin King & Queen Nation,Almighty Latin King & Queen Nation,8,8,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
11,American Indian Movement,American Indian Movement,50,50,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
12,American Labor Party,American Labor Party,2,2,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
13,Angola 3,Angola 3,3,3,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
14,Animal Liberation Front,Animal Liberation Front,37,37,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
15,Animal Liberation Movement,Animal Liberation Movement,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
16,Anonymous,Anonymous,17,17,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
17,Anti-Racist Action,Anti-Racist Action,5,5,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
18,Anti-Rent War,Anti-Rent War,19,19,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
19,Attica Brothers,Attica Brothers,4,4,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
20,Beaver 55,Beaver 55,8,8,first_roster_pass_complete_all_eight_existing,Eight defendants named in United States v Donner (1974) all match existing profiles including aliases. No missing identity in this roster.,Keep Indianapolis 1969 and Minnesota 1970 actions distinct. Proceed to Black Guerrilla Family; source and aliases in batch283 audit.
21,Black Guerrilla Family,Black Guerrilla Family,3,3,second_custody_pass_batch284_open_leads,"Batch283: Sitawa Jamaa and Paul Redd. Batch284: Dorrough, Ashker, Duguma and Jinsai/Denham. Current custody and all aliases checked; political segregation distinguished from original convictions and disputed gang labels.","First pass moves to Black Liberation Army. Preserve unresolved Furnace, Wilkins and other leads in batch283/284 audits for follow-up; no claim that all prison-organizer rosters are exhausted."
22,Black Liberation Army,Black Liberation Army,45,45,second_custody_pass_batch286_open_leads,"Batches285–286: Ahmed Obafemi and Anthony Kimu White, then Melvin Rema Kearney and Pedro Mario Monges. Four missing people/four custody episodes total; each assigned only sourced affiliations. Alias and pending-batch checks completed. Kearney death1975 resolved; Monges individual18-year sentence confirmed.","Move to Black Liberation Front, then Black Liberation Movement. Carry Robert/Rauf Vickers, Tarik Sonnebeyatta and other unresolved leads. Resolve Monges release/later status and vital dates. Kearney birth-date conflict remains open. Cecilio/Cecilia Ferguson possible overlap remains unchanged."
23,Black Liberation Front,Black Liberation Front,5,5,first_custody_pass_batch287_open_leads,Harlem1965 defendants already present. EastPaloAlto ChrisLaury/SamBridges/LeoHazzile already present; avoid LeoBazile duplicate. Keith and Renard King plus Pennsylvania prison organizer Clifford Lumumba Futch proposed with three custody records. Renard formal membership not asserted.,Continue broader Black Liberation Movement including WL Nolen and other prison organizers. Hold unclear EastPaloAlto arrests until individual multi-day custody is established. Resolve dates/photos/later status of new entries; keep existing typo and duplicate findings unchanged.
24,Black Liberation Movement,Black Liberation Movement,18,18,first_custody_pass_batch288_open_leads,Kijana Tashiri Askari/Marcus Harrison proposed after court and first-person custody verification. Gaulden already present. Nolen and other early organizers held for individual political punitive-custody evidence; OC Nolen procedural case not conflated with WL.,"Move to Black Lives Matter Movement. Follow Shaka At-Thinnin interview, Larry Woodward/Moja, Nolen original petition, Albert Ford and Williamsburg4 identity leads; preserve existing records."
25,Black Lives Matter Movement,Black Lives Matter Movement,233,233,queued,,Find named custody rosters; verify US multi-day activism detention; match aliases against all existing profiles and pending batches.
